Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
4096,140.0,19036,2.958393100001558,"[1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 1, 1, 0, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1]",10,0.05,4096
0,110.0,10,0.0010679999977583066,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.1,4096
1,110.0,21,0.00761429999693064,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.1,4096
2,116.0,33,0.015355099996668287,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
4,116.0,55,0.025132000002486166,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
8,116.0,99,0.03898430000117514,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
16,119.0,188,0.0542665000029956,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
32,120.0,365,0.08927289999701316,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
64,123.0,720,0.1380741000029957,"[1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2]",10,0.1,4096
128,128.0,1428,0.23087220000161324,"[1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 0, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 2]",10,0.1,4096
256,129.0,2837,0.4310925000027055,"[1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 2]",10,0.1,4096
512,132.0,5656,0.8559652999974787,"[1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 0, 1, 2, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 1, 0, 0, 2]",10,0.1,4096
1024,138.0,11292,1.7528727000026265,"[1, 1, 2, 1, 0, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 1, 1, 2, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1]",10,0.1,4096
2048,139.0,20522,3.322599099999934,"[1, 1, 0, 1, 0, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 1, 1, 2, 0, 0, 1, 0, 2, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 1, 2, 0, 1]",10,0.1,4096
4096,139.0,20522,3.322599099999934,"[1, 1, 0, 1, 0, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 1, 1, 2, 0, 0, 1, 0, 2, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 1, 2, 0, 1]",10,0.1,4096
0,110.0,10,0.0012177000025985762,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.2,4096
