Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
1,98.0,487,0.09238290000212146,"[0, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",5,4096,2
2,98.0,488,0.09397339999850374,"[0, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",5,4096,2
4,99.0,491,0.09575230000336887,"[0, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",5,4096,2
8,99.0,495,0.0977811999982805,"[0, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",5,4096,2
16,101.0,505,0.10075860000506509,"[1, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1]",5,4096,2
32,109.0,526,0.10610219999944093,"[1, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 1, 1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 1]",5,4096,2
64,121.0,564,0.11402210000233026,"[0, 1, 2, 2, 1, 0, 2, 2, 1, 0, 2, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 0, 2, 0, 2, 1, 1, 1, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 1, 0, 0, 2, 1, 1]",5,4096,2
128,130.0,633,0.12819880000461126,"[0, 0, 2, 2, 1, 0, 2, 2, 1, 0, 1, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 1, 0, 0, 2, 1, 1]",5,4096,2
256,135.0,766,0.15635499999916647,"[0, 0, 2, 2, 1, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1]",5,4096,2
512,136.0,946,0.1995524000012665,"[0, 0, 2, 2, 1, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1]",5,4096,2
1024,136.0,946,0.1995524000012665,"[0, 0, 2, 2, 1, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1]",5,4096,2
2048,136.0,946,0.1995524000012665,"[0, 0, 2, 2, 1, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1]",5,4096,2
4096,136.0,946,0.1995524000012665,"[0, 0, 2, 2, 1, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1]",5,4096,2
0,100.0,946,0.20218710000335705,"[2, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 2, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 2, 1, 0, 2, 1, 0, 0, 2, 1]",5,4096,3
1,102.0,948,0.20497600000089733,"[2, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 2, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 2, 1, 0, 2, 1, 0, 1, 2, 1]",5,4096,3
